sample_ID	PEL	CEU	YRI
9_201018295	0.0015276067307212874	0.9922089246645837	0.006263468604695065
10_201105336	0.0007887699109101426	0.9829265575737908	0.016284672515299123
DUK615_119	0.005864003875903083	0.9867162125901714	0.007419783533925537
DUK2163_122	0.00020369530813400688	0.9950865261930406	0.004709778498825383
DUK26089_9005	0.0004415439859374581	0.9892117142887611	0.010346741725301421
DUK26284_106	0.002251312310805463	0.9920151006890334	0.005733587000161112
DUK26299_102	0.0004458671972880207	0.9842014005475491	0.015352732255162852
DUK26299_9017	0.0019259186031531199	0.9839794756982202	0.014094605698626632
DUK26701_9041	0.00012681419961650233	0.9954439116646872	0.004429274135696382
DUK_401_100	0.001015738506814678	0.9894961815956281	0.009488079897557183
IHG9963_40	0.0009934739683592807	0.9906081836085153	0.008398342423125376
IHG9963_46	0.0010271229633711594	0.9912768402974024	0.007696036739226485
IHG9963_69	0.00031523416097852143	0.9921412664069473	0.0075434994320741355
IHG9963_74	0.00041474007556397015	0.9940950697233116	0.005490190201124438
IHG9963_77	0.000279927934948927	0.994194287423807	0.005525784641244071
IHG9963_88	3.4585690804500634e-05	0.9926440558870178	0.007321358422177729
IHG9963_89	0.0004900360065862684	0.9926747506876068	0.006835213305806966
IHG9963_91	0.0004071744557004856	0.9942723934422072	0.0053204321020923475
IHG9963_97	0.0003421101248745188	0.9928648278799865	0.006793061995138981
IHG9963_152	0.00394543473204592	0.9661737533227482	0.02988081194520589
IHG9963_202	0.0015794132134055291	0.9904985181472561	0.007922068639338399
IHG9963_203	0.00018741121204688782	0.9955579723908194	0.004254616397133653
IHG9963_209	0.00019375192202771295	0.9943458159816442	0.005460432096328066
IHG9963_211	0.0007266597745070602	0.9938209060701634	0.005452434155329525
IHG9963_405	0.0007319196816502448	0.9607278039844445	0.03854027633390525
IHG9963_406	0.0011225218271735738	0.9624730123531441	0.03640446581968231
IHG9963_409	0.0012687904778676078	0.9921205149924647	0.00661069452966775
IHG9963_411	0.0053163971048318225	0.9623804235767196	0.032303179318448616
IHG9963_485	0.0026793102345111586	0.9927927023039547	0.004527987461534227
IHG9963_527	0.11962967083356991	0.735280257940082	0.14509007122634807
IHG9963_557	0.004405064152133231	0.9712851581560409	0.02430977769182593
IHG9963_564	0.00200445694268834	0.9875446119384617	0.01045093111884998
IHG9963_571	0.00016665979756418743	0.9862084514170478	0.013624888785388006
IHG9963_576	0.0026796705021237053	0.9678077110526934	0.029512618445182978
IHG9963_578	0.0027464641174898973	0.9675845612934818	0.029668974589028323
IHG9963_585	0.0005565414078624228	0.9918128464513496	0.007630612140787972
IHG33020_100	0.0004376530957219518	0.9906487497416882	0.008913597162589926
IHG33072_100	0.0007652804625720859	0.9940111994231107	0.005223520114317237
IHG33088_1	0.00034196601782950005	0.9871420489082018	0.012515985073968705
IHG33092_1	0.0006929387259726721	0.9926186930470945	0.006688368226932857
IHG33092_100	0.00020520843210670376	0.9932575195776626	0.006537271990230695
IHG33093_1	0.0018256921533425774	0.97339243547535	0.024781872371307367
IHG33096_101	0.0007185897799860101	0.9906762741872867	0.008605136032727285
IHG33097_100	0.0004331857773263705	0.9935678540991105	0.005998960123563144
IHG33102_9008	0.003356973613711843	0.9888362433829647	0.0078067830033233965
IHG33122_1	0.000517920719797397	0.995039475242842	0.004442604037360616
IHG33122_100	0.0006872464976944314	0.9934951520948985	0.005817601407407044
IHG33129_1	0.0006370251925053961	0.9891509731692857	0.010212001638208889
IHG33130_100	0.0004859289558032339	0.9932188268360751	0.0062952442081217
IHG33132_1	0.0006022953946558768	0.9933859189547743	0.006011785650569814
IHG33133_1	0.0011715182224799497	0.984576943506868	0.014251538270652052
IHG33134_1	0.00041625319953666703	0.9935571181242566	0.006026628676206745
IHG33135_1	0.00021767369150082588	0.9950711787927461	0.0047111475157530615
IHG33135_100	0.0014154193961741885	0.9832229857653944	0.015361594838431504
IHG33138_1	0.00015196087897227466	0.995461997098837	0.004386042022190756
IHG33152_100	0.0011886669608371812	0.9915345757474184	0.007276757291744425
IHG33154_1	0.00033360780921841236	0.9919704275050776	0.007695964685703976
IHG33517_1	0.0004107771318259544	0.966214319455921	0.033374903412253076
IHG33517_100	0.0020696653805593254	0.9784000832362292	0.01953025138321147
IHG33528_100	0.002498239732445096	0.9716680505746557	0.02583370969289924
IHG33538_1	0.000314585679275937	0.9922969020155676	0.007388512305156467
IHG33545_1	4.3232113505625795e-07	0.9962698611932121	0.0037297064856528467
IHG33626_1	0.0014572824927521363	0.9676290903703926	0.03091362713685529
IHG33627_1	0.0008585177206992189	0.9943705303398649	0.004770951939435844
IHG33628_1	0.002406371491245641	0.9873115187931438	0.010282109715610511
IHG33645_1	0.001059186780887832	0.965257376623474	0.03368343659563822
IHG33656_1	5.360782074697599e-05	0.670294825721263	0.32965156645799004
IHG33707_1	0.0006873906047394501	0.9896889247683407	0.00962368462691983
IHG33713_1	0.003607575764999454	0.9777871959737644	0.018605228261236097
IHG33713_100	0.0011017704126908734	0.9946449101535807	0.004253319433728485
IHG33714_1	0.00238799784300575	0.9933625736134812	0.004249428543512978
IHG33714_100	0.006131538604980397	0.9870597637854961	0.006808697609523516
IHG33813_1	0.0006048893214662143	0.9925864851225328	0.006808625556001006
IHG87105_1	0.004011651919232037	0.9676686477542502	0.028319700326517743
IHG87106_1	0.0029784764599700892	0.9665855392038892	0.030435984336140635
IHG87121_1	0.00048621716989327143	0.9933075967758066	0.006206186054300111
IHG87121_100	0.000284899628002074	0.9942889657523843	0.005426134619613603
IHG87123_1	0.002659063194686024	0.9687364809578392	0.0286044558474748
IHG87125_1	0.00029051980275780537	0.9621477627525368	0.037561717444705406
IHG87126_1	0.0023074420048402673	0.9691765118198039	0.028516046175355792
IHG87127_1	0.0014850951524407554	0.993587020336098	0.004927884511461265
IHG87128_1	0.0004209366784997765	0.9817925792365382	0.017786484084962056
IHG87129_1	0.001953803316364248	0.9722299239431837	0.025816272740451972
IHG87133_1	0.002682192375411534	0.969507237488122	0.02781057013646649
IHG87134_1	0.0005734739856521261	0.9909042515325064	0.008522274481841504
IHG87136_1	0.001067977310633976	0.991977128482671	0.00695489420669504
IHG87139_1	0.0036199689708710666	0.9888541847100696	0.007525846319059338
IHG87140_1	0.0008621924503471972	0.9936344315539092	0.005503375995743655
IHG87142_1	0.00017761193298561264	0.9941186312251722	0.0057037568418422295
IHG87155_1	0.0010394441157202628	0.973253372176907	0.025707183707372776
IHG87171_1	0.0005203705395627158	0.9966108184617265	0.0028688109987108183
VAN7215_1	0.00193860002311477	0.9927367167169648	0.005324683259920401
VAN7256_1	0.0003710756409232881	0.9888132583092842	0.010815666049792443
VAN7257_1	0.0002002367390535568	0.9906490379557782	0.009150725305168283
VAN7258_1	0.00013538856879511811	0.9953013177436411	0.004563293687563821
VAN7259_1	0.37634866180756926	0.5897299808654666	0.033921357326964184
VAN7263_1	2.0895521527719135e-05	0.9485842635683268	0.05139484091014551
VAN7266_1	0.0009139989330314386	0.9929027280328264	0.00618327303414213
VAN7268_1	0.0014612454364901519	0.9942406178387805	0.004298136724729317
VAN7269_1	0.0015830158895309978	0.9922040970785755	0.006212887031893483
VAN7270_1	0.00032827584855271854	0.9928401135217658	0.006831610629681497
VAN7273_1	0.0007247863829218165	0.9935236852898123	0.005751528327265947
VAN7275_1	0.0002158002999155821	0.9937441690686909	0.006040030631393489
VAN7276_1	0.000394420982216326	0.9943769431033683	0.0052286359144154025
VAN7277_1	0.0010326710846043814	0.9926010399340797	0.0063662889813159455
VAN7278_1	0.0022873390720601515	0.9658483596150959	0.031864301312844
VAN7280_1	0.0003016160452242493	0.9938485025692845	0.005849881385491245
VAN7284_1	0.0009352547221717047	0.9893109319892566	0.009753813288571764
VAN7285_1	0.0022714872971080886	0.9911697687629534	0.00655874393993849
VAN7285_100	0.00024080287222633568	0.9947305817918443	0.005028615335929374
VAN7288_1	0.0005445805231258662	0.992734771271857	0.006720648205017058
VAN7288_100	0.0002553576837732297	0.9948695730367649	0.004875069279461893
VAN7292_100	0.0006072670877090236	0.9900463102399872	0.00934642267230375
VAN7294_1	0.000531322674984141	0.9929349359573881	0.006533741367627736
VAN7295_100	0.002370488837035972	0.9668307373409887	0.030798773821975343
VAN7297_1	0.000252547596395364	0.9954641587045122	0.004283293699092385
VAN7298_1	2.43540906081692e-05	0.9919552242118281	0.008020421697563698
VAN7300_1	3.227997808420059e-05	0.9946976533320575	0.005270066689858294
VAN7303_1	0.13014883663823626	0.8569800264753463	0.01287113688641742
VAN7305_1	0.0010604837442930008	0.983078662559808	0.01586085369589897
VAN7307_1	0.0016597528910034837	0.9916102319460532	0.006730015162943277
VAN7308_1	0.00010548635695372694	0.9934983224498889	0.006396191193157336
VAN7309_1	0.00014525990137890268	0.9939879981888626	0.005866741909758439
VAN7311_1	0.0016735151138027745	0.9939841793521697	0.004342305534027564
VAN7318_1	0.0013744929953888629	0.9889466293794491	0.009678877625162013
VAN7319_1	0.0009840349569105525	0.9941280702366209	0.0048878948064685615
VAN7320_1	6.268656458315741e-05	0.9953787752803387	0.004558538155078203
VAN7324_1	0.0003791456354443382	0.9919724450037078	0.0076484093608477875
VAN7326_1	6.700977593371998e-05	0.9946537727368493	0.005279217487216985
VAN7328_1	0.00038065875941703514	0.9930739992558312	0.006545341984751745
VAN7328_100	0.00012616571791391795	0.994551600841931	0.0053222334401550825
VAN8536_100	0.0010789294460554011	0.9934728875564431	0.005448182997501472
VAN8547_1	7.623262681492016e-05	0.9936969740114473	0.006226793361737793
VAN8547_100	0.0016926092972677593	0.9944191664675588	0.0038882242351734745
VAN8551_1	0.0009773339793171805	0.979090644195959	0.019932021824723756
VAN8553_1	0.0001646422989339249	0.994866907056432	0.004968450644634044
VAN8555_1	0.0001503757014770684	0.9927134434291943	0.007136180869328631
VAN8556_1	0.3292438155741095	0.5997825280583622	0.0709736563675283
VAN8556_100	0.5966210356512183	0.35042250744529047	0.052956456903491225
VAN8557_1	0.001342357124349681	0.9934960887906912	0.005161554084959173
VAN8558_1	0.00030788470168256505	0.9901469690109328	0.00954514628738461
VAN8558_100	0.0028155634455763892	0.9902381887704297	0.006946247783993915
VAN8559_1	1.1672670646518965e-05	0.9925315082848581	0.007456819044495356
VAN8561_100	0.00045833245668214283	0.9837530835304958	0.015788584012822068
VAN8562_1	5.850746027761358e-05	0.9930622545316622	0.006879238008060195
VAN8563_1	8.134842691308588e-05	0.9921064645555753	0.0078121870175116
VAN8563_100	0.00012177045304084599	0.9956182091356373	0.0042600204113218566
VAN8564_1	0.00019879566860336927	0.9947262585804937	0.005074945750902902
VAN8565_1	0.0006458877757740494	0.9890100364792573	0.010344075744968574
VAN8567_1	0.0005930004902521672	0.9813616271184096	0.018045372391338244
VAN8568_1	0.0003202058540316684	0.9930016575192318	0.006678136626736526
VAN8568_100	0.0008979309975118478	0.992104735271035	0.006997333731453063
VAN8569_1	0.002856129578749168	0.9877543597424865	0.009389510678764357
VAN8570_1	0.0003314462035431311	0.9929652704903645	0.006703283306092298
VAN8571_100	0.0006398352798832618	0.9937640558409035	0.005596108879213222
VAN8572_1	0.0005937930789997703	0.99444762760895	0.00495857931205026
VAN8572_100	0.00036026761254688165	0.9938168710729028	0.005822861314550229
VAN8574_1	9.511064971237674e-05	0.992430056925165	0.0074748324251227
VAN8577_1	0.00022574368602187604	0.992465435204717	0.007308821109261097
VAN8577_100	0.0005870921014063982	0.9528895335917845	0.046523374306809084
VAN8578_100	0.00011679875998769902	0.9938874114714396	0.005995789768572732
VAN8580_1	0.0016944106353304937	0.9725514267606206	0.025754162604048888
VAN8582_1	0.00035479154483616904	0.9943656307003343	0.005279577754829531
VAN8585_1	0.0006454554546389931	0.9920412561177043	0.0073132884276566786
VAN8585_100	0.00125466798745577	0.993033793390271	0.005711538622273243
VAN8586_1	0.0032064538051897557	0.9910034692330018	0.005790076961808463
VAN8587_1	0.000676078201705478	0.9929061145483844	0.006417807249910149
VAN8588_1	8.00514635079171e-05	0.9944917243647257	0.005428224171766375
VAN8591_1	0.00023928974825363877	0.9943129595753799	0.0054477506763664155
VAN8592_1	0.00017444157799520007	0.9911103246068832	0.008715233815121614
VAN8593_1	0.0006454554546389931	0.9939975813073564	0.0053569632380046014
VAN8594_1	0.00046827584278843673	0.9933436955905838	0.006188028566627748
VAN8595_1	0.0007261553998494946	0.9921688629060684	0.007104981694082071
VAN8595_100	0.0006427894743061462	0.9946690480836213	0.0046881624420725704
VAN8596_1	0.0007711167978953455	0.9927980342646203	0.0064308489374843465
VAN8597_1	0.00041863096577947643	0.9935865159614404	0.005994853072780111
VAN8598_1	0.00037359751421111627	0.9943918581825277	0.005234544303261171
VAN8598_100	0.0001479258817117496	0.9951800516652578	0.00467202245303047
VAN8599_1	0.0005028615335929374	0.9919570976034133	0.007540040862993686
VAN8604_1	0.0015289036941264563	0.9913564594397752	0.007114636866098327
VAN8609_1	0.002520071949765437	0.9923069895087189	0.0051729385415156546
VAN8610_1	0.0015241481616408373	0.9794947203501917	0.018981131488167515
VAN8611_1	0.0003158826426811058	0.9925711377222383	0.007112979635080612
VAN8611_100	0.0008566443291139752	0.9905291408943225	0.008614214776563468
VAN8613_1	0.00033382396978594054	0.9951616780170179	0.004504498013196171
VAN8614_1	0.0004258363180304141	0.9940702833115683	0.00550388037040122
VAN8615_1	0.0019914873086366524	0.9565703157356535	0.041438196955709855
VAN8617_1	0.0006253525218588771	0.9941978900999324	0.005176757378208652
VAN8618_1	0.00014237776047852763	0.9949652601146574	0.004892362124864143
VAN8619_1	9.828100470278931e-05	0.9919802267841389	0.007921492211158324
VAN8620_100	4.618630792851023e-05	0.9916787548459597	0.008275058846111833
VAN8622_1	0.00011038599648436453	0.9939261042130271	0.005963509790488532
VAN8623_1	0.0005418424892705099	0.9921288732010757	0.007329284309653759
VAN8625_1	0.00014857436341433398	0.994670705314639	0.005180720321946667
VAN8626_1	0.0007895624996577458	0.9945220588977022	0.004688378602640098
VAN8627_100	0.0006241276119762177	0.9947132889464421	0.004662583441581742
VAN8628_1	0.0007074214839970568	0.9942610089856507	0.005031569530352258
VAN8629_1	0.00022603190011191354	0.9902450338550681	0.00952893424482
VAN8629_100	0.0005024292124578811	0.9923819972256511	0.00711557356189095
VAN8630_1	0.0008825115436948412	0.9956830573058958	0.0034344311504094227
VAN8632_1	0.0002169531562757321	0.9922149051069519	0.007568141736772342
VAN8633_1	0.000244693762441842	0.9938802781727112	0.0058750280648470175
VAN8634_1	0.00045278433544892083	0.9936543183261217	0.005892897338429343
VAN8635_1	0.004795738351179069	0.9861625533232093	0.009041708325611597
VAN8636_1	0.0009891507570087181	0.9817974068225463	0.017213442420444987
VAN8637_1	0.0002248790437517635	0.9938760990684056	0.00589902188784264
VAN8637_100	0.0002934019436581804	0.9937970563542128	0.0059095417021290085
VAN8638_1	0.0024816674222679393	0.9842266192804274	0.01329171329730465
VAN8639_1	0.0014764487297396303	0.9932276894193437	0.00529586185091665
VAN8639_100	0.00022668038181449792	0.9670144017698651	0.03275891784832042
VAN8641_1	0.0018767060472792158	0.9803262179999499	0.017797075952770934
VAN8642_1	0.0005878846901540014	0.9615839439389009	0.03782817137094508
VAN8645_1	0.001418950018777148	0.9931013795943848	0.005479670386838069
VAN8647_1	0.0033298814892483175	0.9874135465810171	0.009256571929734558
VAN8647_100	0.0108852697525365	0.9833015241049295	0.005813206142533973
VAN8649_1	0.0001676685468793187	0.9907987651755527	0.009033566277568038
VAN8650_1	0.00034888315599040015	0.9891426870141972	0.010508429829812461
VAN8650_100	0.00044276889582011754	0.9890584564463837	0.010498774657796205
VAN8651_1	0.0015461244860061972	0.9922567682035299	0.006197107310463929
VAN8653_1	0.000545877486531035	0.9931436029585753	0.006310519554893688
VAN8654_1	0.00036019555902437226	0.9921185695473569	0.007521234893618738
VAN8654_100	0.0003372104853438812	0.9913599180088557	0.008302871505800453
