sample_ID	PEL	CEU	YRI
IHG_87501_1	0.2084132744101629	0.5931679298743906	0.19841879571544646
IHG_87502_102	0.17546937869121967	0.7626336148781823	0.06189700643059807
IHG_87507_1	0.2571813420397655	0.5235650961118733	0.21925356184836114
IHG_87511_9001	0.2075819173187437	0.6238898195724143	0.16852826310884197
IHG_87516_1	0.22155731002625942	0.7018218371946556	0.07662085277908495
IHG_87522_1	0.20058402738897743	0.7138878053734081	0.08552816723761444
IHG_87525_1	0.08805404504967046	0.39537261971935667	0.5165733352309729
IHG_87527_1002	0.10405389485571509	0.4211865606345514	0.4747595445097335
IHG_87529_100	0.15907810846971326	0.7299334617551867	0.11098842977510004
IHG_87534_1	0.19392278353270376	0.7155171001108519	0.09056011635644431
IHG_87535_1001	0.17325401784959676	0.7693335040004624	0.05741247814994079
IHG_87536_108	0.18693360330395734	0.6247848542557342	0.18828154244030854
IHG_87541_1	0.22577545048831746	0.697034662932635	0.0771898865790475
IHG_87549_1	0.19018470888759828	0.5560589906114585	0.2537563005009433
IHG_87554_1	0.18467224233768892	0.5784567932377623	0.23687096442454877
IHG_87556_1	0.179686099794593	0.6332418449133862	0.18707205529202078
IHG_87564_109	0.1952267870661327	0.6647649625889309	0.1400082503449364
IHG_87566_1	0.15546184060627777	0.37859741297363514	0.4659407464200871
IHG_87566_101	0.13686043536376033	0.43957880401998506	0.4235607606162546
IHG_87572_101	0.16808832643288452	0.7360685106372546	0.09584316292986084
IHG_87573_1	0.20141957804014696	0.44822418228488103	0.35035623967497204
IHG_87584_1000	0.19800389136538304	0.7293007503633235	0.07269535827129338
IHG_87585_1	0.18588882627940023	0.7317950797027967	0.08231609401780314
IHG_87589_1	0.18752012102226343	0.7153001317810023	0.09717974719673433
IHG_87590_103	0.13100925821863518	0.548472002311232	0.32051873947013276
IHG_87593_1	0.21047315095950583	0.6203747777897205	0.16915207125077372
IHG_87595_1	0.09409760981287821	0.7813793430924135	0.12452304709470825
IHG_87596_1	0.17462918286617293	0.6780903535351516	0.14728046359867555
IHG_87601_1	0.18114261987032482	0.7414142670580139	0.07744311307166123
IHG_87602_1	0.16032978928071934	0.4799433004915239	0.35972691022775677
IHG_87604_106	0.18098694202913324	0.6082586159265722	0.21075444204429458
IHG_87611_1	0.18341017440176288	0.7094746321248097	0.10711519347342748
IHG_87614_9000	0.17225762805292763	0.7698386666596129	0.057903705287459487
IHG_87617_1	0.17043259084960102	0.7431040780884697	0.08646333106192933
IHG_87620_1	0.10750842034539707	0.8382335616651349	0.0542580179894681
IHG_87620_101	0.10865055247246476	0.8408713752643717	0.05047807226316355
IHG_87622_101	0.20012757453923424	0.7095956647108335	0.09027676074993235
IHG_87623_1	0.09264573491102363	0.2875756824631396	0.6197785826258367
IHG_87627_1	0.14122302783013993	0.4524810325292494	0.4062959396406106
IHG_87628_1	0.21294586733718893	0.7299602360212847	0.057093896641526386
IHG_87640_1	0.20120931940589776	0.7232794437249442	0.07551123686915796
IHG_87642_1	0.18922689984063182	0.7092038571975485	0.10156924296181964
IHG_87646_1	0.15108453842262023	0.6639761862580531	0.18493927531932666
IHG_87648_1	0.1512631195516788	0.683459335825297	0.16527754462302413
IHG_87648_101	0.1837935947955472	0.5923732180435586	0.22383318716089423
IHG_87655_1	0.18450875802373143	0.6511925387152662	0.16429870326100238
IHG_87659_1	0.14788240071360192	0.4450855931351556	0.40703200615124246
IHG_87659_9000	0.18505688854124636	0.5364992601915437	0.2784438512672099
IHG_87661_1	0.11248327253531913	0.837672850468369	0.04984387699631186
IHG_87662_1	0.15197544406249358	0.7134861268656341	0.13453842907187233
IHG_87668_1	0.2496494506630276	0.6494895663588249	0.10086098297814743
IHG_87669_1	0.14548755551466655	0.7768313307687672	0.0776811137165662
IHG_87671_1	0.239953488906228	0.5555821506096984	0.20446436048407357
